timestamp,repetition,size_bytes,avg_send,std_dev_send,mailbox_init,rvsocket,rvbind,rvconnect_dgram,rvaccept_dgram,qp_setup
03:59:40.248,6,1048576,966.192,11.046,3.380,302.721,8.980,539.311,379.231,6844.081

03:59:40.580,7,1,4.926,1.679,3.080,309.101,7.820,551.251,388.811,6783.981
03:59:40.911,7,4,4.919,1.631,3.080,306.631,7.840,543.911,387.901,6809.061
03:59:41.242,7,16,3.182,1.016,2.930,297.360,6.620,545.531,391.071,6749.071
03:59:41.572,7,64,4.304,1.265,2.870,245.380,3.482,492.071,239.172,4329.591
03:59:41.902,7,256,4.483,1.399,2.900,259.190,7.340,505.791,375.781,4253.633
03:59:42.232,7,1024,5.172,1.538,2.590,248.330,4.346,484.061,252.622,4240.103
03:59:42.567,7,4096,8.136,1.793,2.760,246.210,6.260,479.561,381.381,6549.881
03:59:42.922,7,16384,18.745,2.465,2.690,248.990,6.720,500.351,378.081,4285.156
03:59:43.352,7,65536,43.891,2.848,1.998,197.825,7.020,357.628,414.111,4459.220
03:59:44.069,7,262144,247.243,5.489,2.910,301.141,8.260,544.971,395.821,6835.181
03:59:45.941,7,1048576,966.115,10.573,3.350,298.110,9.180,517.661,389.891,6810.471

03:59:46.272,8,1,4.918,1.544,3.370,309.271,8.710,545.781,385.481,6785.201
03:59:46.602,8,4,4.925,1.455,3.180,284.370,8.150,521.611,377.941,6833.211
03:59:46.933,8,16,4.868,1.396,3.120,301.041,8.650,538.391,377.451,6983.232
03:59:47.265,8,64,4.948,1.575,3.040,310.761,9.970,543.821,387.441,7014.442
03:59:47.597,8,256,5.157,1.783,3.020,303.171,9.630,542.561,387.531,6874.941
03:59:47.928,8,1024,5.738,1.561,2.980,281.850,8.960,522.741,384.661,6844.101
03:59:48.267,8,4096,8.826,1.796,3.050,298.290,5.890,532.221,248.987,6864.131
03:59:48.624,8,16384,20.362,2.570,2.770,306.761,9.170,554.811,392.541,7024.332
03:59:49.054,8,65536,67.000,4.580,3.190,300.771,9.610,530.451,411.411,7023.862
03:59:49.770,8,262144,248.160,5.542,2.820,285.880,8.210,536.391,412.061,6946.392
03:59:51.645,8,1048576,965.519,8.165,3.060,289.420,9.940,516.431,372.471,6830.761

03:59:51.975,9,1,4.283,1.323,2.790,255.330,6.910,493.501,387.281,6870.501
03:59:52.309,9,4,4.900,1.749,3.330,313.961,9.840,544.721,389.791,6909.062
03:59:52.638,9,16,4.282,1.263,2.880,250.340,4.723,486.361,248.434,4320.255
03:59:52.968,9,64,4.347,1.284,2.650,243.170,6.500,488.281,368.761,6793.481
03:59:53.299,9,256,4.520,1.409,2.590,238.580,7.520,474.221,354.841,6685.291
03:59:53.631,9,1024,5.772,1.596,3.050,289.430,5.410,511.441,245.270,6898.421
03:59:53.968,9,4096,8.587,1.695,2.910,345.651,8.500,510.631,367.121,6950.692
03:59:54.322,9,16384,19.933,2.249,3.100,303.761,9.080,541.341,386.711,7046.752
03:59:54.751,9,65536,66.818,4.240,2.980,287.440,8.060,517.991,369.951,7068.802
03:59:55.467,9,262144,246.789,6.550,2.980,292.550,9.750,523.841,382.131,6858.981
03:59:57.335,9,1048576,961.520,9.367,2.990,299.460,10.580,547.801,399.491,6829.711

03:59:57.666,10,1,4.844,1.330,3.030,303.231,10.240,529.801,378.261,6978.992
03:59:57.996,10,4,4.851,1.289,3.050,292.530,8.160,515.241,374.931,6759.471
03:59:58.329,10,16,4.882,1.382,3.120,301.951,10.090,527.291,373.251,6809.251
03:59:58.659,10,64,4.939,1.467,3.020,300.961,9.090,533.571,383.281,6863.191
03:59:58.991,10,256,5.106,2.097,3.290,310.501,9.600,553.391,391.951,6907.882
03:59:59.323,10,1024,5.189,1.597,2.830,256.140,4.483,521.961,255.459,4380.661
03:59:59.658,10,4096,5.296,1.303,1.772,165.400,4.299,521.371,268.968,4399.810
04:00:00.011,10,16384,18.789,2.409,2.670,255.940,6.840,512.701,405.641,6832.291
04:00:00.434,10,65536,61.639,3.783,2.990,253.890,4.081,513.551,264.834,4415.326
04:00:01.151,10,262144,159.980,3.078,2.037,188.319,9.520,521.401,373.071,6763.221
04:00:02.953,10,1048576,894.381,6.157,2.690,258.500,5.680,518.901,410.751,4363.341

