timestamp,repetition,size_bytes,throughput
00:00:16.523,13,8192,1.80
00:00:18.159,13,16384,6.59
00:00:19.794,13,32768,7.91
00:00:21.429,13,65536,7.71
00:00:23.062,13,131072,9.52
00:00:24.696,13,262144,8.62
00:00:26.330,13,524288,8.89
00:00:27.966,13,1048576,7.94

00:00:29.652,14,1024,1.87
00:00:31.378,14,2048,1.16
00:00:33.085,14,4096,1.40
00:00:34.728,14,8192,5.16
00:00:36.362,14,16384,8.16
00:00:37.997,14,32768,7.68
00:00:39.633,14,65536,7.41
00:00:41.267,14,131072,8.99
00:00:42.899,14,262144,9.43
00:00:44.532,14,524288,8.80
00:00:46.169,14,1048576,7.55

00:00:47.848,15,1024,2.08
00:00:49.658,15,2048,0.66
00:00:51.343,15,4096,1.89
00:00:53.011,15,8192,2.64
00:00:54.643,15,16384,8.72
00:00:56.276,15,32768,8.70
00:00:57.908,15,65536,9.19
00:00:59.541,15,131072,9.18
00:01:01.173,15,262144,8.70
00:01:02.807,15,524288,8.52
00:01:04.443,15,1048576,7.97

00:01:06.124,16,1024,2.05
00:01:07.935,16,2048,0.66
00:01:09.701,16,4096,0.85
00:01:11.343,16,8192,5.34
00:01:12.978,16,16384,7.46
00:01:14.613,16,32768,7.77
00:01:16.247,16,65536,8.94
00:01:17.883,16,131072,7.67
00:01:19.515,16,262144,9.12
00:01:21.149,16,524288,8.23
00:01:22.783,16,1048576,8.67

00:01:24.472,17,1024,1.80
00:01:26.262,17,2048,0.72
00:01:27.952,17,4096,1.77
00:01:29.664,17,8192,1.33
00:01:31.456,17,16384,0.71
00:01:33.277,17,32768,0.61
00:01:34.909,17,65536,10.11
00:01:36.536,17,131072,11.50
00:01:38.166,17,262144,9.87
00:01:39.796,17,524288,10.98
00:01:41.427,17,1048576,9.52

00:01:43.372,18,1024,0.38
00:01:45.395,18,2048,0.31
00:01:47.152,18,4096,0.91
00:01:48.858,18,8192,1.42
00:01:50.581,18,16384,1.20
00:01:52.415,18,32768,0.58
00:01:54.080,18,65536,2.67
00:01:55.713,18,131072,7.50
00:01:57.339,18,262144,12.71
00:01:58.968,18,524288,10.18
00:02:00.602,18,1048576,7.91

00:02:02.452,19,1024,0.54
00:02:04.322,19,2048,0.49
00:02:06.026,19,4096,1.44
00:02:07.737,19,8192,1.33
00:02:09.444,19,16384,1.41
00:02:11.089,19,32768,4.62
00:02:12.725,19,65536,6.04
00:02:14.366,19,131072,5.35
00:02:16.001,19,262144,7.26
00:02:17.632,19,524288,9.23
00:02:19.264,19,1048576,9.63

00:02:21.120,20,1024,0.53
00:02:22.963,20,2048,0.56
00:02:24.697,20,4096,1.10
00:02:26.407,20,8192,1.33
00:02:28.222,20,16384,0.63
00:02:29.865,20,32768,4.88
00:02:31.528,20,65536,2.81
00:02:33.166,20,131072,6.17
00:02:34.794,20,262144,10.83
00:02:36.430,20,524288,10.32
00:02:38.066,20,1048576,7.94

00:02:39.755,21,1024,1.78
00:02:41.671,21,2048,0.42
00:02:43.380,21,4096,1.40
00:02:45.028,21,8192,4.31
00:02:46.663,21,16384,7.62
00:02:48.298,21,32768,7.98
00:02:49.931,21,65536,8.55
00:02:51.568,21,131072,7.84
00:02:53.201,21,262144,8.48
00:02:54.834,21,524288,9.16
00:02:56.471,21,1048576,7.42

00:02:58.152,22,1024,1.98
00:02:59.965,22,2048,0.65
00:03:01.638,22,4096,2.27
00:03:03.297,22,8192,2.98
00:03:04.930,22,16384,8.77
00:03:06.566,22,32768,7.15
00:03:08.202,22,65536,7.51
00:03:09.836,22,131072,8.48
00:03:11.468,22,262144,8.81
00:03:13.101,22,524288,8.24
00:03:14.735,22,1048576,8.03

00:03:18.932,23,1024,0.05
00:03:20.716,23,2048,0.75
00:03:22.443,23,4096,1.15
00:03:24.085,23,8192,5.25
00:03:25.720,23,16384,7.32
00:03:27.349,23,32768,9.14
00:03:28.978,23,65536,9.67
00:03:30.609,23,131072,9.14
00:03:32.242,23,262144,8.81
00:03:33.873,23,524288,8.62
00:03:35.508,23,1048576,8.03

00:03:37.205,24,1024,1.59
00:03:39.116,24,2048,0.42
00:03:40.826,24,4096,1.35
00:03:42.465,24,8192,5.81
00:03:44.096,24,16384,8.59
00:03:45.728,24,32768,8.84
00:03:47.359,24,65536,8.73
00:03:48.994,24,131072,7.79
00:03:50.624,24,262144,9.70
00:03:52.257,24,524288,8.27
00:03:53.890,24,1048576,8.49

00:03:55.587,25,1024,1.58
00:03:57.331,25,2048,0.99
00:03:59.015,25,4096,1.88
00:04:00.651,25,8192,6.51
00:04:02.284,25,16384,7.32
00:04:03.916,25,32768,8.73
00:04:05.550,25,65536,7.82
00:04:07.184,25,131072,7.85
00:04:08.813,25,262144,11.31
00:04:10.447,25,524288,8.31
00:04:12.084,25,1048576,8.01

00:04:13.765,26,1024,1.99
00:04:15.546,26,2048,0.76
00:04:17.331,26,4096,0.75
00:04:18.975,26,8192,4.95
00:04:20.607,26,16384,8.90
00:04:22.238,26,32768,9.21
00:04:23.869,26,65536,9.01
00:04:25.501,26,131072,8.84
00:04:27.134,26,262144,8.59
00:04:28.767,26,524288,8.05
00:04:30.403,26,1048576,7.83

00:04:32.094,27,1024,1.75
00:04:33.901,27,2048,0.66
00:04:35.684,27,4096,0.76
00:04:37.329,27,8192,4.80
00:04:38.964,27,16384,7.65
00:04:40.598,27,32768,7.90
00:04:42.230,27,65536,8.87
00:04:43.861,27,131072,8.72
00:04:45.493,27,262144,8.92
00:04:47.126,27,524288,8.44
00:04:48.761,27,1048576,8.02

00:04:50.444,28,1024,1.92
00:04:52.172,28,2048,1.14
00:04:53.898,28,4096,1.14
00:04:55.536,28,8192,5.80
00:04:57.170,28,16384,7.50
00:04:58.803,28,32768,7.72
00:05:00.434,28,65536,9.43
00:05:02.064,28,131072,9.81
00:05:03.696,28,262144,8.81
00:05:05.329,28,524288,8.85
00:05:06.964,28,1048576,8.02

00:05:08.651,29,1024,1.81
00:05:10.442,29,2048,0.72
00:05:12.251,29,4096,0.66
00:05:13.903,29,8192,3.60
00:05:15.537,29,16384,7.46
00:05:17.170,29,32768,8.24
00:05:18.798,29,65536,9.82
00:05:20.428,29,131072,9.72
00:05:22.060,29,262144,9.05
00:05:23.690,29,524288,8.91
00:05:25.329,29,1048576,7.30

00:05:27.012,30,1024,1.91
00:05:28.748,30,2048,1.04
00:05:30.500,30,4096,0.94
00:05:32.154,30,8192,3.41
00:05:33.788,30,16384,8.21
00:05:35.423,30,32768,7.15
00:05:37.056,30,65536,8.63
00:05:38.689,30,131072,8.05
00:05:40.322,30,262144,8.37
00:05:41.955,30,524288,8.80
00:05:43.591,30,1048576,7.68

