timestamp,repetition,size_bytes,avg rtt,min,max,stddev
17:12:55.907,7,1,3.316,3.250,12.270,0.366
17:12:57.459,7,4,3.307,3.220,7.380,0.241
17:12:59.010,7,16,3.312,3.220,9.110,0.324
17:13:00.562,7,64,3.897,3.610,8.120,0.295
17:13:02.114,7,256,3.598,3.410,25.830,0.779
17:13:03.668,7,1024,4.238,4.030,10.070,0.347
17:13:05.222,7,4096,3.402,3.140,7.240,0.257
17:13:06.787,7,16384,9.357,8.530,36.660,1.031
17:13:08.400,7,65536,29.041,26.690,41.920,1.253
17:13:10.172,7,262144,89.923,83.920,114.370,3.803
17:13:12.612,7,1048576,361.703,347.041,425.271,8.320

17:13:14.164,8,1,3.351,3.240,59.440,1.784
17:13:15.716,8,4,3.307,3.220,11.250,0.382
17:13:17.268,8,16,3.315,3.250,7.970,0.272
17:13:18.820,8,64,3.890,3.580,42.480,1.257
17:13:20.372,8,256,3.915,3.680,57.630,1.727
17:13:21.924,8,1024,4.298,4.000,62.800,1.878
17:13:23.481,8,4096,5.909,5.440,11.290,0.439
17:13:25.049,8,16384,11.136,10.130,46.450,1.251
17:13:26.661,8,65536,29.056,26.690,39.690,1.326
17:13:28.432,8,262144,87.661,82.050,109.020,3.191
17:13:30.826,8,1048576,304.114,286.171,357.501,8.800

17:13:32.376,9,1,2.769,2.590,13.370,0.404
17:13:33.927,9,4,3.370,3.230,71.250,2.156
17:13:35.479,9,16,3.327,3.250,7.300,0.247
17:13:37.031,9,64,3.858,3.580,8.530,0.337
17:13:38.583,9,256,3.851,3.670,16.720,0.521
17:13:40.136,9,1024,4.202,4.000,10.540,0.355
17:13:41.692,9,4096,5.637,5.290,18.490,0.817
17:13:43.261,9,16384,11.002,9.970,48.380,1.316
17:13:44.865,9,65536,24.200,22.090,30.300,1.146
17:13:46.620,9,262144,73.775,68.880,92.990,2.702
17:13:49.001,9,1048576,303.199,288.831,358.421,7.652

17:13:50.551,10,1,2.740,2.590,6.720,0.237
17:13:52.099,10,4,2.730,2.580,5.980,0.176
17:13:53.647,10,16,2.732,2.600,6.820,0.207
17:13:55.195,10,64,3.212,3.000,12.870,0.373
17:13:56.744,10,256,3.291,3.080,8.860,0.319
17:13:58.293,10,1024,3.641,3.410,8.680,0.304
17:13:59.845,10,4096,5.061,4.670,72.490,2.163
17:14:01.410,10,16384,9.792,8.980,26.730,0.851
17:14:03.012,10,65536,24.417,21.540,31.930,1.162
17:14:04.767,10,262144,47.579,43.878,59.684,2.255
17:14:07.147,10,1048576,302.325,289.361,357.981,7.872

