timestamp,repetition,size_bytes,min_us,max_us,avg_us,std_dev,avg_buffer_setup,avg_wr_setup,avg_poll,window_init,rvsocket_setup
17:56:03.394,9,64,12.270,22.590,13.518,0.864,13.187,0.050,1.955,211.220,7.810
17:56:07.683,9,256,12.380,60.840,13.722,1.748,13.389,0.049,2165.022,212.480,8.065
17:56:09.837,9,1024,12.530,21.380,13.852,0.904,13.522,0.049,2.171,220.850,8.310
17:56:14.126,9,4096,10.210,54.710,13.947,1.582,13.618,0.049,2165.518,213.410,8.157
17:56:16.279,9,16384,11.040,20.820,13.101,0.880,12.777,0.049,3.619,213.970,8.299
17:56:18.435,9,65536,13.240,22.620,16.822,0.887,16.499,0.049,7.121,216.090,8.759
17:56:20.607,9,262144,24.830,33.920,25.938,0.892,25.610,0.052,16.750,215.600,7.809
17:56:22.851,9,1048576,63.550,72.370,65.144,1.214,64.776,0.058,54.153,213.630,8.279

17:56:27.010,10,1,12.480,52.240,13.798,1.565,13.465,0.050,2164.274,213.630,8.279
17:56:29.163,10,4,12.520,22.750,13.391,0.765,13.065,0.049,1.401,218.680,8.371
17:56:33.452,10,16,8.273,31.746,9.042,0.961,8.821,0.033,1433.705,219.400,9.432
17:56:35.606,10,64,12.490,21.140,13.721,0.815,13.397,0.049,1.972,210.420,8.044
17:56:39.895,10,256,10.740,55.170,12.034,1.628,11.698,0.057,2165.601,206.340,7.575
17:56:42.049,10,1024,12.560,21.050,13.867,0.851,13.529,0.066,2.139,219.720,8.810
17:56:46.339,10,4096,12.320,49.470,13.673,1.455,13.343,0.050,2165.634,209.140,8.013
17:56:48.493,10,16384,12.760,21.760,13.687,0.761,13.356,0.056,3.655,204.460,8.963
17:56:50.648,10,65536,15.580,22.580,16.526,0.779,16.196,0.049,7.732,218.040,8.187
17:56:52.820,10,262144,24.820,31.910,26.220,0.987,25.890,0.050,17.540,215.010,7.891
17:56:55.065,10,1048576,63.770,74.680,65.542,1.371,65.153,0.056,54.742,218.440,8.677

17:56:59.221,11,1,12.550,52.900,13.880,1.628,13.556,0.049,2164.228,212.830,9.136
17:57:01.376,11,4,12.500,20.890,13.396,0.796,13.067,0.049,1.383,219.700,8.892
17:57:05.665,11,16,12.390,51.450,13.761,1.560,13.424,0.049,2164.456,213.100,7.860
17:57:07.818,11,64,11.160,31.030,12.471,1.229,12.140,0.049,1.974,225.440,8.830
17:57:12.108,11,256,12.540,61.050,13.592,1.756,13.258,0.049,2165.185,212.260,8.371
17:57:14.262,11,1024,12.410,26.310,13.687,0.930,13.351,0.049,2.147,215.630,9.351
17:57:18.551,11,4096,12.720,49.850,14.156,1.524,13.832,0.049,2165.511,214.750,8.055
17:57:20.706,11,16384,13.400,23.080,14.702,0.924,14.381,0.049,3.631,213.640,7.738
17:57:22.861,11,65536,15.480,38.010,16.791,1.109,16.459,0.050,7.589,216.310,7.912
17:57:25.031,11,262144,24.460,31.650,26.005,0.972,25.672,0.051,16.622,209.710,7.789
17:57:27.276,11,1048576,62.110,73.140,64.214,1.544,63.840,0.055,54.232,211.290,7.748

17:57:31.434,12,1,12.470,53.990,13.830,1.658,13.503,0.050,2164.240,212.020,7.963
17:57:33.587,12,4,12.340,20.010,13.210,0.693,12.881,0.049,1.366,211.020,8.269
17:57:37.876,12,16,11.140,47.490,12.409,1.461,12.075,0.050,2164.934,218.310,9.504
17:57:40.032,12,64,12.450,21.310,13.784,0.858,13.457,0.050,1.986,216.850,8.085
17:57:44.320,12,256,12.490,56.970,13.808,1.630,13.480,0.050,2165.103,207.980,8.993
17:57:46.472,12,1024,11.110,20.030,12.329,0.911,12.001,0.049,2.163,216.340,7.799
17:57:50.763,12,4096,12.180,47.910,13.228,1.444,12.899,0.049,2165.885,208.780,7.881
17:57:52.918,12,16384,13.240,22.220,14.515,0.911,14.192,0.049,3.655,211.260,8.473
17:57:55.074,12,65536,15.520,41.540,16.917,1.393,16.584,0.050,7.297,215.040,8.442
17:57:57.247,12,262144,24.130,32.500,25.672,0.981,25.338,0.050,17.121,214.180,7.769
17:57:59.487,12,1048576,62.660,72.750,64.563,1.441,64.184,0.056,54.602,216.150,8.065

17:58:03.647,13,1,12.520,50.940,13.883,1.557,13.552,0.049,2164.251,211.020,8.412
17:58:05.798,13,4,10.090,20.820,12.309,0.858,11.989,0.049,1.368,218.370,8.126
17:58:10.089,13,16,12.540,51.490,13.942,1.743,13.607,0.050,2164.417,213.040,7.963
17:58:12.243,13,64,12.540,22.410,13.801,0.931,13.474,0.049,1.954,216.350,8.310
17:58:16.532,13,256,8.277,37.738,9.097,1.089,8.880,0.033,1433.810,215.500,8.391
17:58:18.685,13,1024,12.540,22.530,13.858,0.910,13.535,0.049,2.160,219.190,7.942
17:58:22.976,13,4096,12.800,55.930,14.199,1.645,13.866,0.050,2165.441,217.550,8.167
17:58:25.131,13,16384,13.420,23.310,14.772,0.902,14.441,0.049,3.623,213.210,8.932
17:58:27.284,13,65536,14.170,21.100,15.428,0.824,15.099,0.049,8.016,213.610,8.197
17:58:29.457,13,262144,24.620,32.920,26.185,0.925,25.849,0.050,16.525,207.660,7.779
17:58:31.698,13,1048576,62.710,72.650,64.159,1.262,63.772,0.063,54.304,216.990,8.647

17:58:35.859,14,1,12.550,55.010,13.902,1.656,13.569,0.049,2164.217,214.130,7.993
17:58:38.012,14,4,12.460,21.320,13.684,0.866,13.358,0.051,1.396,220.210,8.800
17:58:42.302,14,16,8.264,35.075,8.950,1.031,8.733,0.033,1433.338,213.740,11.668
17:58:44.456,14,64,12.050,20.820,13.296,0.850,12.969,0.049,1.963,210.330,8.320
17:58:48.745,14,256,12.540,58.590,13.934,1.694,13.604,0.050,2165.031,211.280,8.075
17:58:50.897,14,1024,8.267,14.342,8.906,0.526,8.692,0.033,1.420,216.940,9.504
17:58:55.189,14,4096,8.430,32.393,9.326,0.975,9.107,0.033,1433.384,215.350,7.932
17:58:57.343,14,16384,13.340,22.260,14.676,0.916,14.350,0.050,3.606,210.040,8.146
17:58:59.498,14,65536,15.510,23.130,16.757,0.840,16.430,0.050,7.815,212.460,8.289
17:59:01.668,14,262144,24.840,34.800,26.385,1.141,26.055,0.049,16.510,212.520,9.473
17:59:03.914,14,1048576,62.170,72.410,65.020,1.270,64.639,0.060,54.515,216.060,8.013

17:59:08.072,15,1,12.540,50.930,13.704,1.558,13.380,0.049,2164.199,214.900,7.952
17:59:10.225,15,4,12.420,21.310,13.657,0.857,13.334,0.049,1.396,212.900,8.912
17:59:14.514,15,16,11.980,49.360,13.720,1.478,13.393,0.050,2164.505,217.690,8.892
17:59:16.668,15,64,11.980,21.400,13.793,0.887,13.460,0.049,1.970,213.900,8.187
17:59:20.956,15,256,12.470,56.420,13.607,1.663,13.281,0.049,2165.147,210.640,9.208
17:59:23.111,15,1024,12.520,26.020,13.803,0.934,13.474,0.049,2.125,210.300,7.779
17:59:27.401,15,4096,12.740,53.190,14.096,1.595,13.769,0.049,2165.549,210.910,9.606
17:59:29.556,15,16384,13.290,21.950,14.607,0.918,14.281,0.049,3.612,213.630,8.095
17:59:31.709,15,65536,15.440,21.500,16.314,0.717,15.988,0.050,7.477,219.240,8.626
17:59:33.882,15,262144,24.800,33.000,26.356,0.982,26.022,0.054,17.518,213.290,7.983
17:59:36.124,15,1048576,63.220,73.440,65.034,1.324,64.670,0.058,54.808,213.900,8.126

17:59:40.284,16,1,12.490,52.660,13.822,1.564,13.497,0.050,2164.200,210.760,8.953
17:59:42.437,16,4,12.510,21.580,13.815,0.861,13.483,0.049,1.366,221.000,8.422
17:59:46.727,16,16,12.420,51.500,13.785,1.531,13.454,0.049,2164.478,217.910,7.952
17:59:48.880,16,64,12.200,20.560,13.476,0.833,13.144,0.050,1.950,213.630,7.667
17:59:53.168,16,256,12.100,55.930,13.413,1.648,13.084,0.050,2165.175,204.030,8.003
17:59:55.323,16,1024,12.590,23.290,13.855,0.886,13.526,0.049,2.170,214.220,8.228
17:59:59.612,16,4096,12.730,53.740,14.078,1.563,13.753,0.050,2165.546,214.810,8.258
18:00:01.768,16,16384,13.040,22.280,14.327,0.892,13.990,0.056,3.606,210.250,7.993
18:00:03.922,16,65536,15.350,23.130,16.405,0.800,16.082,0.050,7.459,209.270,7.432
18:00:06.092,16,262144,24.740,34.010,26.071,1.014,25.745,0.050,16.560,212.720,8.840
18:00:08.337,16,1048576,62.760,75.550,65.370,1.612,64.992,0.056,54.727,220.300,8.473

18:00:12.496,17,1,12.270,51.450,13.849,1.516,13.522,0.050,2164.219,211.310,12.811
18:00:14.651,17,4,12.290,21.100,13.490,0.898,13.161,0.049,1.385,209.230,8.667
18:00:18.939,17,16,12.560,50.860,13.816,1.542,13.480,0.049,2164.440,223.450,8.503
18:00:21.093,17,64,12.580,21.370,13.839,0.900,13.508,0.050,1.994,214.270,9.555
18:00:25.381,17,256,12.210,54.940,13.513,1.651,13.177,0.050,2165.110,205.450,7.646
18:00:27.536,17,1024,12.530,23.330,13.753,0.953,13.433,0.050,2.166,213.560,8.595
18:00:31.825,17,4096,12.700,53.470,14.115,1.610,13.788,0.049,2165.506,214.320,8.085
18:00:33.980,17,16384,13.370,22.040,14.756,0.940,14.429,0.049,3.375,216.090,8.943
18:00:36.134,17,65536,15.520,23.540,16.827,0.863,16.499,0.050,7.369,219.580,9.463
18:00:38.306,17,262144,24.760,32.520,26.211,1.039,25.883,0.050,17.228,220.250,8.136
18:00:40.548,17,1048576,41.942,47.680,43.121,0.923,42.873,0.038,35.671,214.830,8.156

18:00:44.709,18,1,12.530,46.530,13.854,1.469,13.518,0.050,2164.225,214.670,7.881
18:00:46.862,18,4,12.560,21.880,13.702,0.907,13.381,0.050,1.396,215.650,8.769
18:00:51.151,18,16,12.530,49.530,13.830,1.541,13.506,0.049,2164.445,216.570,9.627
18:00:53.305,18,64,8.282,14.207,9.110,0.586,8.894,0.033,1.301,218.350,8.269
18:00:57.594,18,256,12.150,58.870,13.467,1.689,13.133,0.049,2165.241,208.070,7.758
18:00:59.748,18,1024,12.480,22.090,13.706,0.847,13.379,0.049,2.167,208.900,8.545
18:01:04.038,18,4096,12.730,51.480,14.038,1.561,13.710,0.050,2165.594,212.050,9.136
18:01:06.193,18,16384,13.170,24.470,14.439,0.931,14.115,0.052,3.610,215.790,9.137
18:01:08.345,18,65536,15.040,22.360,16.337,0.779,16.016,0.049,7.098,209.410,7.432
18:01:10.518,18,262144,24.520,32.230,26.007,0.933,25.672,0.049,17.474,216.020,8.228
18:01:12.761,18,1048576,41.138,47.587,42.817,0.745,42.569,0.040,35.790,218.190,7.901

18:01:16.920,19,1,12.470,47.370,13.803,1.470,13.473,0.050,2164.272,211.820,7.952
18:01:19.072,19,4,11.020,20.500,12.133,0.873,11.805,0.050,1.402,217.140,9.575
18:01:23.363,19,16,11.880,52.030,13.838,1.581,13.508,0.050,2164.450,219.110,7.901
18:01:25.517,19,64,12.550,21.300,13.737,0.854,13.411,0.050,1.997,213.460,9.106
18:01:29.809,19,256,8.250,38.112,9.132,1.110,8.913,0.034,1433.567,211.090,8.167
18:01:31.960,19,1024,12.530,22.380,13.820,0.941,13.492,0.050,2.147,218.330,7.810
18:01:36.249,19,4096,11.400,47.340,12.372,1.407,12.043,0.049,2165.250,211.250,8.361
18:01:38.405,19,16384,13.290,22.030,14.603,0.965,14.270,0.049,3.634,208.370,8.126
18:01:40.558,19,65536,13.920,27.340,15.455,0.973,15.132,0.050,7.793,196.160,8.238
18:01:42.730,19,262144,24.730,34.650,26.316,1.120,25.989,0.050,16.545,219.910,8.595
18:01:44.975,19,1048576,62.170,85.190,64.486,1.445,64.113,0.053,54.335,216.580,8.371

18:01:49.133,20,1,12.560,48.450,13.891,1.508,13.556,0.050,2164.205,213.670,8.238
18:01:51.287,20,4,12.470,21.590,13.744,0.950,13.409,0.049,1.392,217.860,8.248
18:01:55.575,20,16,10.710,48.190,11.980,1.500,11.656,0.050,2165.069,213.970,7.595
18:01:57.730,20,64,12.530,21.480,13.802,0.861,13.477,0.049,1.998,216.510,8.504
18:01:59.877,20,256,12.520,26.760,13.835,1.014,13.508,0.050,2.022,208.850,8.146
18:02:04.167,20,1024,12.520,51.770,13.894,1.576,13.561,0.049,2165.429,214.580,8.391
18:02:06.320,20,4096,12.380,21.160,13.593,0.820,13.268,0.049,2.592,206.110,9.065
18:02:08.470,20,16384,12.720,22.890,14.553,0.888,14.231,0.049,3.517,221.180,8.207
18:02:10.625,20,65536,15.590,22.620,16.891,0.845,16.563,0.049,7.867,208.610,9.116
18:02:12.797,20,262144,24.280,43.150,25.933,1.263,25.600,0.058,17.087,217.410,8.187
18:02:15.038,20,1048576,62.510,73.860,65.034,1.214,64.661,0.057,54.248,215.010,8.483

18:02:17.056,21,1,12.190,21.000,13.574,0.871,13.246,0.049,1.402,209.150,7.462
18:02:21.345,21,4,12.380,51.220,13.612,1.545,13.279,0.049,2164.325,211.590,8.534
18:02:23.498,21,16,12.000,20.720,13.175,0.800,12.853,0.049,1.387,211.770,9.330
18:02:27.789,21,64,12.520,50.030,13.833,1.481,13.506,0.049,2164.776,216.140,9.228
18:02:29.942,21,256,8.262,22.758,9.104,0.765,8.887,0.033,1.336,218.110,8.156
18:02:34.230,21,1024,12.130,52.260,13.415,1.525,13.084,0.050,2165.503,206.370,8.310
18:02:36.385,21,4096,12.680,22.540,14.007,0.857,13.680,0.049,2.586,213.870,9.463
18:02:38.534,21,16384,13.380,24.280,14.678,0.890,14.351,0.049,3.585,215.620,7.850
18:02:40.689,21,65536,15.540,25.590,16.846,0.906,16.514,0.050,7.993,215.920,8.157
18:02:42.859,21,262144,24.800,32.370,26.000,0.919,25.673,0.052,16.819,215.250,8.177
